day,date,ua_2024_TWh,ua_2025_TWh,ua_2026_TWh,ua_2026_proj_TWh,ua_2026_proj_2_TWh,ua_2024_mcm,ua_2025_mcm,ua_2026_mcm,ua_2026_proj_mcm,ua_2026_proj_2_mcm
1,01.01.00,87.3986,52.1666,79.46,,,8346.5663,4981.9103,7588.43,,
2,02.01.00,86.8897,51.6166,79.0646,,,8297.96635,4929.3853,7550.6693,,
3,03.01.00,86.296,51.0229,78.7457,,,8241.268,4872.68695,7520.21435,,
4,04.01.00,85.6656,50.4169,78.4276,,,8181.0648,4814.81395,7489.8358,,
5,05.01.00,85.0211,49.821,77.8981,,,8119.51505,4757.9055,7439.26855,,
6,06.01.00,84.3354,49.2012,77.3398,,,8054.0307,4698.7146,7385.9509,,
7,07.01.00,83.5894,48.66,76.99,,,7982.7877,4647.03,7352.545,,
8,08.01.00,82.8299,48.2379,76.9425,,,7910.25545,4606.71945,7348.00875,,
9,09.01.00,81.5387,47.8401,76.5343,,,7786.94585,4568.72955,7309.02565,,
10,10.01.00,80.4813,47.4113,76.0235,,,7685.96415,4527.77915,7260.24425,,
11,11.01.00,79.4495,46.9655,,,,7587.42725,4485.20525,,7191.977468,7217.67035
12,12.01.00,78.3473,46.5082,,,,7482.16715,4441.5331,,7121.949654,7173.9982
13,13.01.00,77.2699,45.9884,,,,7379.27545,4391.8922,,7042.351015,7124.3573
14,14.01.00,76.2247,45.3962,,,,7279.45885,4335.3371,,6951.665532,7067.8022
15,15.01.00,75.2434,44.8935,,,,7185.7447,4287.32925,,6874.68547,7019.79435
16,16.01.00,74.245,44.2871,,,,7090.3975,4229.41805,,6781.825496,6961.88315
17,17.01.00,73.2369,43.6012,,,,6994.12395,4163.9146,,6676.791431,6896.3797
18,18.01.00,72.393,42.958,,,,6913.5315,4102.489,,6578.296155,6834.9541
19,19.01.00,71.5945,42.438,,,,6837.27475,4052.829,,6498.666889,6785.2941
20,20.01.00,70.7537,41.9125,,,,6756.97835,4002.64375,,6418.195391,6735.10885
21,21.01.00,69.8986,41.2967,,,,6675.3163,3943.83485,,6323.895964,6676.29995
22,22.01.00,68.9226,40.6896,,,,6582.1083,3885.8568,,6230.928796,6618.3219
23,23.01.00,68.052,40.1082,,,,6498.966,3830.3331,,6141.897152,6562.7982
24,24.01.00,67.1565,39.533,,,,6413.44575,3775.4015,,6053.814933,6507.8666
25,25.01.00,66.2923,38.9582,,,,6330.91465,3720.5081,,5965.793968,6452.9732
26,26.01.00,65.531,38.4119,,,,6258.2105,3668.33645,,5882.137299,6400.80155
27,27.01.00,64.7336,37.9564,,,,6182.0588,3624.8362,,5812.385124,6357.3013
28,28.01.00,63.9574,37.5363,,,,6107.9317,3584.71665,,5748.053866,6317.18175
29,29.01.00,63.143,37.1196,,,,6030.1565,3544.9218,,5684.24326,6277.3869
30,30.01.00,62.3597,36.7093,,,,5955.35135,3505.73815,,5621.412706,6238.20325
31,31.01.00,61.5856,36.281,,,,5881.4248,3464.8355,,5555.825755,6197.3006
32,01.02.00,60.8856,35.718,,,,5814.5748,3411.069,,5469.611762,6143.5341
33,02.02.00,60.1807,35.0855,,,,5747.25685,3350.66525,,5372.755011,6083.13035
34,03.02.00,59.5363,34.4044,,,,5685.71665,3285.6202,,5268.455986,6018.0853
35,04.02.00,58.8841,33.6752,,,,5623.43155,3215.9816,,5156.791254,5948.4467
36,05.02.00,58.2319,32.912,,,,5561.14645,3143.096,,5039.919993,5875.5611
37,06.02.00,57.6781,32.1525,,,,5508.25855,3070.56375,,4923.615325,5803.02885
38,07.02.00,57.1687,31.3947,,,,5459.61085,2998.19385,,4807.570983,5730.65895
39,08.02.00,56.6287,30.6199,,,,5408.04085,2924.20045,,4688.923377,5656.66555
40,09.02.00,56.1209,29.8683,,,,5359.54595,2852.42265,,4573.828461,5584.88775
41,10.02.00,55.5931,29.1134,,,,5309.14105,2780.3297,,4458.228206,5512.7948
42,11.02.00,55.0951,28.3532,,,,5261.58205,2707.7306,,4341.816345,5440.1957
43,12.02.00,54.6181,27.5151,,,,5216.02855,2627.69205,,4213.475407,5360.15715
44,13.02.00,54.1688,26.7746,,,,5173.1204,2556.9743,,4100.08027,5289.4394
45,14.02.00,53.6912,26.1325,,,,5127.5096,2495.65375,,4001.75344,5228.11885
46,15.02.00,53.23,25.505,,,,5083.465,2435.7275,,3905.662355,5168.1926
47,16.02.00,52.6676,24.7929,,,,5029.7558,2367.72195,,3796.6162,5100.18705
48,17.02.00,52.1147,24.0265,,,,4976.95385,2294.53075,,3679.254913,5026.99585
49,18.02.00,51.5596,23.296,,,,4923.9418,2224.768,,3567.391108,4957.2331
50,19.02.00,50.9867,22.5634,,,,4869.22985,2154.8047,,3455.205723,4887.2698
51,20.02.00,50.334,21.8852,,,,4806.897,2090.0366,,3351.350785,4822.5017
52,21.02.00,49.7109,21.1451,,,,4747.39095,2019.35705,,3238.016901,4751.82215
53,22.02.00,48.0724,20.4602,,,,4590.9142,1953.9491,,3133.13597,4686.4142
54,23.02.00,48.7178,19.7761,,,,4652.5499,1888.61755,,3028.377545,4621.08265
55,24.02.00,48.2546,19.1068,,,,4608.3143,1824.6994,,2925.885492,4557.1645
56,25.02.00,47.7831,18.5212,,,,4563.28605,1768.7746,,2836.210688,4501.2397
57,26.02.00,47.4222,18.0058,,,,4528.8201,1719.5539,,2757.285835,4452.019
58,27.02.00,47.0322,16.4337,,,,4491.5751,1569.41835,,2516.545126,4301.88345
59,28.02.00,46.5734,17.0392,,,,4447.7597,1627.2436,,2609.267281,4359.7087
60,29.02.00,45.7569,16.5563,,,,4369.78395,1581.12665,,2535.319257,4313.59175
61,01.03.00,45.435,16.0732,,,,4339.0425,1534.9906,,2461.340606,4267.4557
62,02.03.00,45.1029,15.5936,,,,4307.32695,1489.1888,,2387.897922,4221.6539
63,03.03.00,44.7641,15.1234,,,,4274.97155,1444.2847,,2315.894689,4176.7498
64,04.03.00,44.3831,14.6595,,,,4238.58605,1399.98225,,2244.856196,4132.44735
